"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11802","Verify Login with valid credentials","chromium","2026-09-09","passed","2026-09-09","","login.spec.js","",""
"","8546","Login with valid credentials- Add to cart - Click ok on pop up","chromium","2026-09-09","passed","2026-09-09","","placeorder.spec.js","",""
"","3789","Sign Up - Close Popup","chromium","2026-09-09","passed","2026-09-09","","signup.spec.js","",""
"","14213","Login with valid credentials- - Select a produt under phones -Add to cart - Click ok on pop up - Details- Purchase","chromium","2026-09-09","passed","2026-09-09","","placeorder.spec.js","",""
"","3188","Sign Up","chromium","2026-09-09","passed","2026-09-09","","signup.spec.js","",""
"","11299","Login - Add Monitor Product - Add to Cart - Add Details - Purchase","chromium","2026-09-09","passed","2026-09-09","","placeorder.spec.js","",""
"","8987","Verify login with invalid username and invalid password suhailaa,User@1234","chromium","2026-09-09","passed","2026-09-09","","login.spec.js","",""
"","12070","Verify login with Invalid username and valid password suhailaa,User@123","chromium","2026-09-09","passed","2026-09-09","","login.spec.js","",""
"","5643","Login and Logout","chromium","2026-09-09","passed","2026-09-09","","signout.spec.js","",""
"","11565","Verify login with valid username and Invalid password suhaila,User@1234","chromium","2026-09-09","passed","2026-09-09","","login.spec.js","",""
